"position","game_title","key","cited"
"56","Ori and the Will of the Wisps","oriandthewillofthewisps","1","['opencrict-2020']"
"56"," Super Smash Bros.","supersmashbros","1","['time-magazine']"
"55","Hollow Knight","hollowknight","1","['opencrict-2020']"
"54","Counter-Strike 1.6","counterstrike16","1","['ign-2019']"
"54","Mario Kart 8 DLC Pack 2","mariokart8dlcpack2","1","['opencrict-2020']"
"54","The Sims 3","thesims3","1","['popular-mechanics']"
"54","Animal Crossing","animalcrossing","1","['slant-magazine']"
"53","LittleBigPlanet","littlebigplanet","1","['metacrict-2020']"
"53","Rayman Legends","raymanlegends","1","['opencrict-2020']"
"53","Tecmo Super Bowl","tecmosuperbowl","1","['popular-mechanics']"
"53","Killer7","killer7","1","['slant-magazine']"
"53"," Guitar Hero","guitarhero","1","['time-magazine']"
"52","The Legend of Zelda Collector's Edition","thelegendofzeldacollectorsedition","1","['metacrict-2020']"
"52","DUSK","dusk","1","['opencrict-2020']"
"51","Deus Ex","deusex","1","['ign-2019']"
"51","Sekiro: Shadows Die Twice","sekiroshadowsdietwice","1","['opencrict-2020']"
"50","Animal Crossing: New Horizons","animalcrossingnewhorizons","1","['opencrict-2020']"
"50","Mortal Kombat II","mortalkombatii","1","['popular-mechanics']"
"50","Jet Set Radio","jetsetradio","1","['slant-magazine']"
"50"," King's Quest III: To Heir Is Human","kingsquestiiitoheirishuman","1","['time-magazine']"
"49","Monster Hunter World: Iceborne","monsterhunterworldiceborne","1","['opencrict-2020']"
"49","Super Mario RPG: Legend of the Seven Stars","supermariorpglegendofthesevenstars","1","['slant-magazine']"
"48","Ori and the Blind Forest","oriandtheblindforest","1","['opencrict-2020']"
"48","NBA Jam","nbajam","1","['popular-mechanics']"
"47","The Witness","thewitness","1","['ign-2019']"
"47","The Legend of Zelda: Majora's Mask","thelegendofzeldamajorasmask","1","['metacrict-2020']"
"46","Tony Hawk's Pro Skater 1 + 2","tonyhawksproskater12","1","['opencrict-2020']"
"46","Super Mario RPG","supermariorpg","1","['popular-mechanics']"
"46","Bayonetta","bayonetta","1","['slant-magazine']"
"45","Dark Souls III","darksoulsiii","1","['opencrict-2020']"
"44","Madden NFL 2003","maddennfl2003","1","['metacrict-2020']"
"44","BioShock Infinite","bioshockinfinite","2","['metacrict-2020', 'metacrict-2020']"
"44","Tetris Effect","tetriseffect","1","['opencrict-2020']"
"44","Legend of Zelda: Breath of the Wild","legendofzeldabreathofthewild","1","['popular-mechanics']"
"43","Mass Effect","masseffect","1","['ign-2019']"
"43","Devil May Cry 5: Special Edition","devilmaycry5specialedition","1","['opencrict-2020']"
"42","Mark of the Ninja: Remastered","markoftheninjaremastered","1","['opencrict-2020']"
"42","Secret of Mana","secretofmana","1","['popular-mechanics']"
"41","Dreams","dreams","1","['opencrict-2020']"
"41","Tomb Raider","tombraider","1","['popular-mechanics']"
"41","Beyond Good & Evil","beyondgoodevil","1","['slant-magazine']"
"40","Super Mario World 2: Yoshi's Island","supermarioworld2yoshisisland","1","['ign-2019']"
"40","Batman: Arkham Asylum","batmanarkhamasylum","1","['slant-magazine']"
